Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279474.6875,265350.0,305976.09375,271317.03125,682445.3125,200225.140625,196626.96875,218702.984375
1,279668.34375,266674.03125,306862.03125,272445.5,683451.9375,200751.75,197650.3125,219832.1875
2,279530.75,266549.40625,306852.4375,272498.71875,683572.8125,200648.578125,197725.0625,219967.8125
3,279291.125,265292.5,306063.25,271520.40625,682667.5625,200130.46875,196840.921875,219030.03125
4,279240.0,264567.59375,305530.375,270809.71875,682044.5,199874.21875,196193.15625,218288.3125
5,279474.875,265393.625,306015.5,271380.0625,682490.875,200250.546875,196690.984375,218793.8125
6,279668.34375,266719.90625,306903.0625,272510.6875,683513.8125,200770.984375,197726.21875,219936.265625
7,279532.1875,266583.1875,306885.09375,272549.5,683629.5625,200663.515625,197791.765625,220062.328125
8,279289.96875,265309.0625,306078.53125,271549.21875,682699.125,200131.453125,196883.03125,219098.34375
9,279249.125,264597.1875,305558.09375,270849.5,682076.125,199885.046875,196246.0,218366.453125
10,279481.40625,265419.75,306045.375,271421.09375,682514.375,200262.25,196745.703125,218873.03125
11,279667.1875,266730.4375,306923.875,272542.96875,683534.0625,200776.25,197772.359375,220006.265625
12,279530.40625,266585.6875,306900.46875,272578.09375,683646.625,200659.671875,197832.796875,220123.03125
13,279293.46875,265321.125,306103.5,271590.34375,682729.9375,200138.328125,196939.703125,219171.5625
14,279246.4375,264598.34375,305571.96875,270878.375,682093.75,199875.390625,196295.625,218433.59375
15,279480.40625,265412.75,306046.4375,271431.90625,682520.75,200240.171875,196779.140625,218924.34375
16,279670.3125,266728.125,306923.25,272550.03125,683532.125,200762.484375,197799.265625,220047.21875
17,279527.09375,266588.71875,306900.03125,272586.34375,683648.875,200655.015625,197862.484375,220166.578125
18,279292.03125,265328.90625,306103.5,271596.3125,682731.125,200132.96875,196968.59375,219213.046875
19,279244.03125,264603.625,305571.59375,270880.09375,682086.375,199874.140625,196317.703125,218464.890625
