Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,280374.5625,266431.71875,303636.5625,271176.375,682829.0,200443.5625,196935.234375,218825.46875
1,280232.9375,265877.6875,303307.5625,270776.65625,682473.375,200202.265625,196589.5,218467.921875
2,280137.09375,265185.75,302829.125,270160.71875,681928.5,199929.125,196032.140625,217837.25
3,280190.21875,265171.09375,302769.15625,270072.375,681885.6875,199947.453125,195941.75,217706.53125
4,280354.53125,266003.125,303311.21875,270748.03125,682415.125,200302.578125,196534.96875,218353.578125
5,280365.28125,266439.78125,303644.71875,271187.28125,682841.25,200452.6875,196945.875,218832.890625
6,280217.5625,265855.25,303299.6875,270766.90625,682462.25,200190.015625,196577.515625,218450.21875
7,280120.3125,265154.90625,302811.15625,270137.65625,681905.0625,199910.34375,196003.078125,217802.828125
8,280177.25,265147.03125,302753.3125,270053.25,681872.5625,199931.796875,195917.515625,217676.671875
9,280351.5,265983.1875,303297.90625,270733.625,682404.4375,200288.453125,196510.734375,218327.203125
10,280376.375,266434.9375,303643.375,271188.28125,682839.6875,200464.578125,196933.890625,218819.203125
11,280237.0625,265876.0625,303313.46875,270790.875,682489.0,200226.3125,196591.203125,218463.1875
12,280138.28125,265174.5,302828.5,270164.46875,681932.25,199949.0625,196024.890625,217825.265625
13,280186.46875,265145.875,302753.78125,270057.09375,681868.6875,199952.28125,195913.3125,217672.5625
14,280350.96875,265982.09375,303295.40625,270732.375,682394.6875,200296.140625,196505.8125,218317.8125
15,280366.25,266428.4375,303638.53125,271183.09375,682832.0625,200451.53125,196930.765625,218811.96875
16,280229.28125,265869.28125,303308.625,270780.03125,682476.5,200207.796875,196584.140625,218455.953125
17,280130.3125,265169.5625,302824.75,270153.46875,681926.1875,199935.375,196020.96875,217820.171875
18,280190.65625,265161.25,302767.625,270065.9375,681885.4375,199963.8125,195931.734375,217690.53125
19,280354.0,265996.15625,303309.53125,270744.09375,682422.5,200316.515625,196530.40625,218343.734375
20,280371.90625,266443.90625,303647.03125,271187.65625,682855.5,200481.03125,196944.0,218830.828125
21,280224.375,265876.25,303306.21875,270777.71875,682492.75,200224.4375,196589.0625,218464.703125
22,280124.21875,265173.59375,302817.25,270149.53125,681931.75,199941.109375,196022.3125,217823.484375
23,280175.1875,265157.78125,302755.5625,270058.34375,681883.8125,199953.265625,195930.578125,217689.8125
24,280345.78125,265995.34375,303302.90625,270738.90625,682415.9375,200304.359375,196524.953125,218343.734375
25,280364.375,266432.0,303638.71875,271178.96875,682840.3125,200461.984375,196934.703125,218825.015625
26,280223.65625,265861.59375,303296.125,270761.625,682462.875,200218.53125,196571.625,218449.515625
27,280117.34375,265166.90625,302809.03125,270136.59375,681913.125,199942.171875,196007.109375,217812.03125
28,280175.1875,265166.90625,302759.75,270063.4375,681886.5625,199966.84375,195936.390625,217699.75
29,280341.59375,266001.96875,303303.625,270744.375,682420.875,200318.21875,196538.09375,218355.453125
30,280352.03125,266434.25,303634.15625,271180.40625,682848.0625,200473.78125,196949.453125,218834.578125
31,280213.8125,265865.15625,303299.96875,270777.0,682489.1875,200229.265625,196599.609375,218472.84375
32,280115.125,265165.90625,302814.84375,270153.84375,681936.4375,199951.203125,196032.765625,217837.96875
33,280170.5625,265158.40625,302756.53125,270065.84375,681898.3125,199969.171875,195940.59375,217709.40625
34,280339.625,265997.46875,303301.84375,270745.4375,682431.0,200325.109375,196533.796875,218358.9375
35,280360.4375,266438.78125,303641.21875,271189.71875,682857.5625,200484.25,196946.6875,218844.234375
36,280217.9375,265870.25,303300.59375,270776.375,682486.6875,200233.375,196584.671875,218470.875
37,280122.4375,265172.4375,302814.84375,270146.78125,681928.3125,199969.0,196016.671875,217826.34375
38,280168.9375,265154.65625,302745.90625,270050.03125,681881.1875,199982.859375,195921.359375,217687.40625
39,280340.96875,266000.875,303299.15625,270741.0625,682430.1875,200338.609375,196530.40625,218352.234375
40,280363.3125,266449.625,303644.4375,271193.1875,682872.75,200506.59375,196952.765625,218848.265625
41,280223.3125,265879.03125,303303.25,270776.28125,682497.9375,200256.4375,196585.65625,218471.859375
42,280127.53125,265180.46875,302820.8125,270151.875,681943.25,199981.6875,196019.09375,217831.625
43,280182.96875,265169.75,302762.8125,270064.78125,681899.125,199993.578125,195931.015625,217701.4375
44,280358.3125,266013.125,303316.125,270752.40625,682435.8125,200352.375,196534.875,218359.484375
45,280368.59375,266441.21875,303643.1875,271184.4375,682851.1875,200503.5625,196937.921875,218832.171875
46,280222.9375,265870.25,303300.84375,270771.8125,682482.75,200252.859375,196583.0625,218463.09375
47,280119.9375,265168.59375,302811.6875,270147.65625,681927.6875,199971.328125,196017.921875,217825.453125
48,280174.5625,265158.3125,302753.78125,270062.28125,681886.5625,199985.359375,195927.4375,217696.875
49,280343.0,266000.15625,303300.59375,270746.96875,682425.4375,200340.296875,196526.65625,218352.859375
50,280356.0625,266430.40625,303628.96875,271182.90625,682846.5625,200488.09375,196930.234375,218827.875
51,280206.75,265852.375,303279.03125,270759.3125,682464.75,200231.234375,196560.171875,218446.015625
52,280115.5625,265164.375,302807.5,270149.28125,681925.8125,199970.78125,196011.75,217825.09375
53,280170.5625,265153.9375,302747.0625,270063.09375,681883.4375,199987.5,195926.1875,217696.609375
54,280339.25,265994.71875,303295.65625,270746.5,682420.0625,200340.84375,196527.640625,218353.84375
55,280355.09375,266433.0,303631.125,271185.0625,682844.375,200499.09375,196937.921875,218833.25
56,280213.5625,265867.75,303294.40625,270775.21875,682478.625,200257.875,196582.796875,218462.46875
57,280112.25,265166.71875,302806.53125,270147.5,681930.3125,199982.765625,196013.8125,217819.90625
58,280167.15625,265156.15625,302748.03125,270060.3125,681889.6875,199995.375,195923.6875,217690.171875
59,280341.5,266003.84375,303299.875,270748.21875,682429.4375,200354.703125,196526.65625,218348.84375
60,280353.90625,266434.25,303628.875,271182.03125,682850.125,200509.8125,196931.75,218825.015625
61,280209.25,265861.0625,303290.75,270770.65625,682481.75,200256.34375,196575.46875,218457.375
62,280104.5625,265157.5,302800.78125,270140.6875,681925.375,199978.296875,196007.28125,217816.6875
63,280165.28125,265153.65625,302745.71875,270058.15625,681887.1875,200005.390625,195922.796875,217691.515625
64,280344.1875,265997.21875,303297.1875,270746.5,682429.125,200362.5625,196527.546875,218351.96875
65,280363.5,266434.0625,303631.75,271189.25,682856.3125,200524.9375,196938.375,218833.0625
66,280223.375,265872.3125,303301.84375,270785.9375,682496.75,200287.203125,196587.453125,218474.1875
67,280117.53125,265173.96875,302815.5625,270157.84375,681938.875,200003.328125,196021.40625,217839.75
68,280163.65625,265153.46875,302743.03125,270056.46875,681882.625,200006.28125,195918.0625,217695.984375
69,280340.59375,265995.53125,303289.59375,270735.53125,682414.0,200360.328125,196512.171875,218345.265625
70,280354.90625,266426.375,303620.75,271173.53125,682834.0,200518.9375,196917.265625,218822.0625
71,280218.375,265863.90625,303290.75,270773.78125,682476.9375,200278.4375,196572.34375,218462.65625
72,280111.71875,265160.625,302804.5625,270149.0,681927.1875,199995.90625,196007.015625,217826.078125
73,280161.0625,265150.25,302748.40625,270064.78125,681891.9375,200007.703125,195921.71875,217702.609375
74,280330.75,265985.6875,303295.03125,270746.78125,682429.0,200353.359375,196521.375,218358.671875
75,280348.28125,266416.28125,303622.4375,271176.84375,682842.875,200500.4375,196921.65625,218829.3125
76,280209.4375,265849.25,303283.6875,270764.3125,682472.625,200255.90625,196562.5,218455.765625
77,280109.5625,265155.53125,302802.59375,270141.21875,681927.4375,199987.59375,196002.546875,217821.6875
78,280164.65625,265154.90625,302749.9375,270062.1875,681893.75,200010.21875,195922.53125,217703.5
79,280334.59375,265994.96875,303300.9375,270748.65625,682436.1875,200363.109375,196526.203125,218365.828125
80,280345.59375,266426.46875,303626.8125,271180.59375,682857.4375,200514.921875,196928.984375,218839.5
81,280201.21875,265851.9375,303282.96875,270765.1875,682486.3125,200263.953125,196563.84375,218465.25
82,280103.03125,265149.1875,302794.90625,270138.625,681931.5625,199982.765625,195995.390625,217825.890625
83,280163.46875,265146.15625,302738.65625,270053.25,681887.3125,200006.90625,195908.671875,217698.84375
84,280337.90625,265992.3125,303288.96875,270740.53125,682426.6875,200372.765625,196511.0,218356.53125
85,280348.75,266421.28125,303615.46875,271175.03125,682846.8125,200522.15625,196914.859375,218830.65625
86,280205.9375,265852.03125,303277.6875,270760.0,682478.1875,200266.546875,196556.25,218459.515625
87,280107.59375,265163.40625,302797.21875,270136.84375,681931.1875,199996.984375,195996.90625,217827.421875
88,280163.03125,265152.59375,302738.65625,270051.03125,681887.3125,200009.953125,195909.5625,217699.46875
