Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,280186.8125,267471.625,317931.0625,277930.375,682139.625,202096.25,201360.890625,224133.109375
1,280294.5625,267861.09375,318152.875,278170.5,682333.0625,202275.421875,201602.109375,224367.171875
2,280380.5625,268416.375,318533.75,278628.28125,682707.5,202490.09375,202000.6875,224806.171875
3,280294.09375,268198.9375,318434.0625,278542.625,682593.0625,202377.0,201894.640625,224726.59375
4,280199.78125,267672.6875,318103.4375,278159.6875,682225.625,202167.34375,201533.078125,224350.1875
5,280177.25,267466.96875,317927.75,277928.75,682143.625,202095.8125,201373.578125,224146.96875
6,280276.84375,267843.375,318145.71875,278162.75,682326.1875,202260.59375,201609.796875,224374.953125
7,280362.875,268390.65625,318517.65625,278610.5625,682685.8125,202474.359375,201993.265625,224799.1875
8,280286.15625,268188.03125,318425.5625,278532.34375,682576.5625,202376.015625,201891.34375,224723.828125
9,280193.71875,267664.03125,318095.8125,278150.84375,682206.0,202163.046875,201525.65625,224343.84375
10,280179.125,267471.96875,317933.5625,277936.625,682135.3125,202106.71875,201379.65625,224157.34375
11,280291.34375,267866.28125,318166.1875,278191.25,682336.125,202291.703125,201639.390625,224409.828125
12,280376.09375,268409.9375,318535.25,278635.0625,682697.6875,202501.265625,202023.03125,224831.375
13,280295.28125,268207.90625,318441.75,278552.8125,682585.5,202395.859375,201919.765625,224752.171875
14,280205.0625,267686.125,318118.34375,278175.4375,682223.4375,202192.1875,201561.15625,224379.96875
15,280192.71875,267505.0625,317956.71875,277963.28125,682152.375,202146.59375,201419.890625,224198.109375
16,280294.8125,267893.34375,318183.4375,278208.6875,682336.625,202319.6875,201670.6875,224442.1875
17,280371.625,268431.59375,318552.875,278653.03125,682702.125,202522.015625,202056.375,224866.875
18,280294.8125,268227.03125,318462.65625,278576.96875,682595.125,202421.25,201961.25,224797.578125
19,280196.9375,267701.03125,318130.25,278193.5,682233.5625,202208.28125,201598.96875,224426.640625
20,280160.8125,267479.21875,317938.125,277947.96875,682152.375,202114.59375,201422.84375,224213.046875
21,280255.5625,267841.875,318140.53125,278165.9375,682317.3125,202254.78125,201636.796875,224421.0
22,280335.0625,268363.0,318493.78125,278589.375,682644.5,202436.453125,201990.046875,224814.84375
23,280250.03125,268138.59375,318388.71875,278497.03125,682512.1875,202314.953125,201870.59375,224722.390625
24,280176.34375,267645.78125,318088.5,278147.28125,682188.0625,202131.578125,201535.046875,224376.203125
25,280166.625,267463.21875,317929.625,277936.4375,682138.6875,202083.734375,201391.734375,224193.015625
26,280280.53125,267865.1875,318164.03125,278190.1875,682337.8125,202268.8125,201651.546875,224445.59375
27,280361.875,268413.0,318534.09375,278637.03125,682705.8125,202476.0625,202039.03125,224875.640625
28,280273.71875,268200.21875,318430.65625,278549.34375,682590.8125,202359.203125,201930.046875,224793.65625
29,280183.25,267673.25,318101.71875,278167.21875,682222.0625,202149.90625,201566.796875,224416.984375
30,280169.21875,267479.40625,317939.46875,277953.6875,682149.1875,202096.96875,201422.84375,224230.390625
31,280277.75,267869.21875,318166.5625,278199.9375,682334.9375,202272.484375,201672.921875,224469.640625
32,280356.15625,268406.375,318530.53125,278641.59375,682695.1875,202469.984375,202052.8125,224891.546875
33,280269.15625,268185.71875,318423.40625,278550.5,682572.9375,202344.890625,201935.0625,224804.296875
34,280177.15625,267667.25,318096.90625,278170.4375,682211.0625,202135.6875,201571.4375,224429.234375
35,280168.125,267482.28125,317937.9375,277957.71875,682148.8125,202086.875,201429.8125,224248.265625
36,280279.0,267873.875,318169.84375,278207.71875,682340.9375,202273.28125,201683.015625,224496.1875
37,280365.8125,268425.5,318543.75,278659.125,682710.8125,202486.515625,202071.9375,224924.0
38,280284.90625,268211.375,318444.96875,278573.1875,682591.0,202371.265625,201960.8125,224840.5
39,280194.15625,267685.125,318118.0,278190.0,682226.875,202161.53125,201596.390625,224464.984375
40,280176.09375,267493.09375,317953.65625,277974.71875,682160.25,202106.984375,201452.890625,224281.703125
41,280279.34375,267883.53125,318183.90625,278225.59375,682355.625,202285.984375,201707.515625,224531.15625
42,280356.6875,268414.4375,318548.40625,278666.90625,682718.9375,202485.890625,202089.8125,224953.59375
43,280276.21875,268194.21875,318443.34375,278577.59375,682601.0,202369.21875,201977.34375,224867.953125
44,280188.53125,267667.96875,318106.46875,278183.9375,682225.875,202160.90625,201601.390625,224479.828125
45,280175.375,267477.625,317940.96875,277966.3125,682146.9375,202113.25,201453.59375,224291.1875
46,280281.9375,267868.875,318169.125,278214.21875,682337.875,202292.328125,201706.171875,224538.21875
47,280362.9375,268396.28125,318527.46875,278643.9375,682690.375,202487.859375,202074.359375,224945.46875
48,280279.53125,268169.1875,318417.875,278542.4375,682561.125,202371.984375,201951.15625,224845.6875
49,280183.0625,267639.71875,318084.84375,278155.3125,682210.4375,202154.90625,201584.484375,224462.84375
50,280163.84375,267447.84375,317917.5625,277937.34375,682152.75,202088.203125,201435.09375,224271.15625
51,280271.84375,267836.0625,318140.8125,278179.8125,682335.875,202260.9375,201678.546875,224506.390625
52,280352.9375,268367.5625,318497.25,278609.84375,682678.625,202459.609375,202046.8125,224912.296875
53,280268.90625,268145.75,318389.96875,278513.03125,682551.6875,202342.03125,201927.8125,224818.5
54,280177.6875,267624.0625,318063.8125,278133.6875,682200.1875,202132.921875,201566.515625,224443.890625
55,280163.84375,267432.71875,317904.75,277920.8125,682143.375,202077.484375,201422.21875,224259.625
56,280272.46875,267825.6875,318134.0,278169.09375,682334.25,202252.453125,201671.65625,224503.96875
57,280351.6875,268356.84375,318493.6875,278604.125,682684.1875,202454.515625,202041.359375,224913.359375
58,280265.3125,268131.1875,318384.625,278509.09375,682553.75,202341.5,201921.015625,224818.5
59,280176.8125,267609.65625,318055.3125,278126.875,682195.0625,202136.21875,201552.75,224438.4375
60,280165.53125,267423.0,317891.71875,277908.28125,682137.25,202084.09375,201399.953125,224242.359375
61,280274.625,267817.8125,318118.90625,278152.1875,682325.0,202257.640625,201642.34375,224477.953125
62,280353.375,268359.53125,318489.03125,278597.4375,682682.0625,202461.75,202023.921875,224900.84375
63,280266.65625,268137.4375,318383.71875,278507.5625,682560.8125,202347.578125,201911.1875,224809.921875
64,280177.4375,267612.96875,318053.09375,278126.71875,682211.75,202137.46875,201547.296875,224429.140625
65,280166.6875,267428.96875,317890.46875,277912.03125,682148.25,202081.78125,201400.046875,224241.109375
66,280273.28125,267823.1875,318118.28125,278159.25,682330.5,202260.140625,201646.359375,224481.078125
67,280348.8125,268355.15625,318480.28125,278593.59375,682679.0,202455.765625,202014.71875,224890.484375
68,280265.21875,268138.4375,318377.90625,278503.28125,682556.875,202343.015625,201901.625,224801.25
69,280178.5,267620.65625,318055.15625,278127.15625,682203.4375,202138.640625,201543.984375,224425.296875
70,280162.6875,267422.8125,317885.625,277903.375,682136.75,202073.28125,201388.6875,224226.90625
71,280271.21875,267816.75,318112.09375,278149.0625,682329.6875,202246.28125,201631.4375,224462.390625
72,280357.59375,268365.25,318485.09375,278597.25,682688.9375,202460.6875,202014.625,224884.578125
73,280272.375,268143.53125,318379.0625,278501.9375,682562.5,202346.859375,201897.0625,224792.75
74,280182.0,267615.21875,318043.96875,278111.875,682202.75,202129.703125,201523.78125,224404.46875
75,280167.25,267431.21875,317877.9375,277892.09375,682144.0625,202067.109375,201369.296875,224207.765625
76,280275.15625,267827.03125,318106.1875,278139.5625,682332.0625,202240.203125,201614.265625,224445.859375
77,280357.84375,268360.25,318468.21875,278577.125,682683.375,202442.171875,201988.078125,224859.625
78,280277.65625,268138.875,318364.5,278485.59375,682559.375,202331.75,201873.71875,224768.703125
79,280188.4375,267612.34375,318036.375,278100.6875,682207.1875,202122.0,201508.3125,224385.234375
80,280176.625,267429.25,317878.21875,277887.625,682148.8125,202066.578125,201362.765625,224196.5
81,280285.96875,267835.5,318111.90625,278139.9375,682334.4375,202244.40625,201613.015625,224440.140625
82,280359.8125,268367.75,318473.125,278576.6875,682684.375,202442.078125,201988.34375,224850.421875
83,280272.84375,268137.25,318360.28125,278478.34375,682550.6875,202320.765625,201866.125,224749.296875
84,280181.46875,267609.59375,318028.0625,278093.1875,682197.1875,202107.34375,201495.890625,224362.53125
85,280169.46875,267428.1875,317873.28125,277887.0,682140.9375,202054.328125,201355.34375,224180.40625
86,280280.25,267830.78125,318114.25,278147.625,682334.3125,202243.875,201617.296875,224434.765625
87,280354.625,268357.03125,318471.4375,278577.3125,682677.75,202439.765625,201986.828125,224841.65625
88,280265.9375,268130.5625,318359.3125,278480.21875,682545.875,202318.703125,201866.75,224744.296875
89,280171.1875,267604.5625,318025.65625,278096.9375,682202.1875,202108.328125,201499.90625,224363.15625
90,280159.375,267405.46875,317855.5,277873.9375,682138.0,202052.890625,201340.765625,224165.65625
91,280270.25,267810.375,318089.3125,278126.875,682331.1875,202241.640625,201596.46875,224412.0625
92,280346.84375,268346.90625,318452.5625,278566.125,682683.9375,202446.734375,201972.34375,224826.28125
93,280260.125,268116.34375,318339.8125,278466.90625,682550.0,202326.125,201847.078125,224726.0625
94,280174.5625,267596.4375,318016.25,278088.0,682199.125,202119.953125,201483.46875,224346.53125
95,280160.0,267412.625,317856.65625,277876.09375,682140.125,202063.625,201339.25,224158.6875
96,280263.625,267801.28125,318078.75,278119.5625,682316.8125,202231.53125,201580.46875,224391.046875
97,280340.40625,268326.8125,318432.1875,278549.78125,682659.0625,202423.3125,201946.046875,224797.234375
98,280253.53125,268099.8125,318320.40625,278449.46875,682523.4375,202304.21875,201820.53125,224697.09375
99,280163.84375,267577.40625,317995.4375,278069.9375,682186.5625,202103.046875,201461.46875,224322.03125
100,280148.90625,267386.6875,317830.8125,277850.0,682130.8125,202040.015625,201308.046875,224126.3125
101,280264.78125,267794.9375,318072.125,278111.0625,682329.3125,202227.421875,201563.75,224378.09375
102,280352.5,268337.1875,318442.0,278555.40625,682683.9375,202436.8125,201942.125,224798.296875
103,280261.84375,268103.8125,318326.5,278452.3125,682545.6875,202312.53125,201816.5,224693.78125
104,280160.4375,267569.09375,317985.5,278056.0625,682187.0625,202096.171875,201441.171875,224298.421875
105,280145.0625,267377.03125,317819.28125,277834.625,682130.6875,202032.421875,201287.578125,224100.03125
106,280257.90625,267783.125,318061.6875,278097.5625,682337.25,202218.828125,201553.734375,224354.578125
107,280337.65625,268323.125,318429.21875,278540.5625,682691.125,202422.953125,201938.0,224772.640625
108,280252.53125,268091.9375,318317.8125,278437.5625,682555.3125,202305.734375,201815.78125,224672.234375
109,280157.9375,267562.8125,317983.0,278043.46875,682193.0625,202089.640625,201440.90625,224280.8125
110,280138.4375,267370.6875,317815.625,277820.40625,682128.875,202033.671875,201286.046875,224081.875
111,280244.65625,267767.90625,318046.75,278072.875,682324.5625,202217.5,201540.234375,224324.890625
112,280326.28125,268303.1875,318410.1875,278511.78125,682673.8125,202416.515625,201916.8125,224738.390625
113,280235.0,268062.6875,318290.90625,278404.03125,682530.375,202286.96875,201785.65625,224631.203125
114,280141.5,267539.9375,317957.15625,278018.34375,682190.8125,202073.90625,201416.3125,224246.65625
115,280130.75,267358.78125,317795.5,277802.0625,682139.0625,202022.9375,201269.25,224054.609375
116,280235.90625,267751.46875,318023.59375,278046.5,682316.4375,202199.96875,201511.984375,224289.390625
117,280315.75,268276.46875,318381.21875,278479.59375,682653.875,202395.765625,201876.765625,224695.296875
