Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279823.28125,266669.5625,306526.28125,272381.15625,683545.8125,200714.921875,197821.0,219992.234375
1,279594.5,265374.75,305688.5625,271328.1875,682566.3125,200185.265625,196867.296875,218961.90625
2,279587.875,264831.0,305265.46875,270750.34375,682063.8125,200004.3125,196334.15625,218338.375
3,279844.125,265836.71875,305877.03125,271483.40625,682639.3125,200448.390625,196970.28125,219002.046875
4,279994.25,267048.90625,306706.1875,272551.90625,683627.9375,200919.21875,197953.578125,220091.5625
5,279818.90625,266670.53125,306527.625,272389.53125,683556.9375,200719.921875,197840.84375,220013.59375
6,279596.1875,265373.15625,305690.96875,271339.28125,682578.75,200194.84375,196886.0625,218982.546875
7,279590.84375,264825.53125,305265.03125,270756.4375,682065.75,200004.484375,196344.53125,218351.34375
8,279843.75,265835.46875,305879.53125,271492.25,682642.4375,200449.296875,196985.21875,219019.484375
9,279992.0,267053.8125,306705.03125,272553.875,683627.3125,200921.09375,197960.734375,220101.125
10,279814.4375,266668.3125,306526.125,272389.46875,683553.125,200722.15625,197842.09375,220019.671875
11,279583.40625,265364.40625,305687.3125,271336.15625,682571.1875,200191.0,196882.75,218983.71875
12,279585.1875,264831.25,305269.6875,270763.15625,682072.375,200014.59375,196354.359375,218362.34375
13,279848.0625,265840.125,305885.0625,271502.90625,682644.9375,200453.40625,196995.59375,219032.4375
14,279995.9375,267044.25,306708.96875,272564.25,683629.8125,200914.125,197969.765625,220113.46875
15,279821.875,266654.71875,306524.0625,272390.71875,683545.25,200709.203125,197841.46875,220021.46875
16,279596.5625,265353.9375,305680.25,271329.09375,682556.9375,200174.359375,196875.0625,218979.421875
17,279591.71875,264816.25,305258.3125,270749.28125,682052.25,199990.71875,196335.859375,218348.65625
18,279852.25,265836.5625,305882.21875,271494.40625,682633.6875,200441.25,196982.71875,219023.5
19,280008.0,267048.71875,306714.21875,272561.3125,683623.0625,200912.328125,197963.421875,220112.65625
20,279833.40625,266653.90625,306529.0625,272386.5,683537.1875,200707.234375,197833.15625,220019.9375
21,279602.8125,265343.21875,305682.28125,271321.65625,682545.3125,200173.5625,196861.5625,218972.625
22,279601.28125,264813.90625,305267.1875,270753.5625,682051.4375,199995.640625,196335.3125,218356.703125
23,279852.875,265840.84375,305887.5625,271497.1875,682636.875,200441.6875,196987.359375,219030.390625
24,279997.28125,267046.5,306710.46875,272557.71875,683623.0625,200902.671875,197962.796875,220109.078125
25,279823.375,266646.3125,306522.09375,272378.8125,683534.625,200693.46875,197828.859375,220012.796875
26,279595.5625,265344.09375,305678.71875,271316.5625,682544.375,200163.546875,196864.421875,218970.65625
27,279594.0625,264819.0,305265.75,270745.71875,682046.4375,199989.296875,196337.28125,218351.703125
28,279851.71875,265838.96875,305888.1875,271493.59375,682633.5625,200437.40625,196985.3125,219030.46875
29,280004.6875,267049.1875,306718.34375,272561.03125,683624.5,200914.390625,197966.90625,220119.0
30,279829.375,266650.875,306526.75,272379.625,683536.6875,200706.25,197833.875,220021.546875
31,279597.90625,265345.53125,305682.21875,271317.75,682549.375,200175.96875,196870.0625,218979.515625
32,279592.0,264825.34375,305269.9375,270752.59375,682059.0625,200002.171875,196348.109375,218365.203125
