Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,281484.375,268655.65625,316704.125,277840.15625,682341.1875,202851.03125,201353.734375,223750.625
1,281581.21875,269190.46875,317069.875,278275.03125,682677.75,203069.71875,201733.09375,224162.34375
2,281519.6875,269023.65625,316998.1875,278216.46875,682571.1875,202981.921875,201645.640625,224099.578125
3,281444.5,268545.6875,316701.71875,277871.0,682240.0,202786.921875,201304.203125,223747.59375
4,281429.40625,268349.875,316537.8125,277655.96875,682175.125,202721.5625,201147.03125,223549.46875
5,281531.6875,268708.5625,316747.3125,277880.21875,682352.9375,202894.21875,201380.109375,223767.703125
6,281621.96875,269236.34375,317105.1875,278304.8125,682684.0,203106.46875,201753.03125,224171.734375
7,281553.84375,269056.1875,317027.59375,278240.25,682573.25,203012.859375,201661.109375,224103.34375
8,281474.375,268577.84375,316733.09375,277897.28125,682250.4375,202822.78125,201328.515625,223757.609375
9,281449.6875,268364.25,316551.9375,277663.9375,682179.75,202742.765625,201156.40625,223543.828125
10,281548.65625,268715.71875,316747.84375,277873.5,682344.5,202896.890625,201370.8125,223745.71875
11,281636.5625,269242.6875,317105.65625,278299.78125,682674.0,203101.90625,201745.6875,224152.515625
12,281575.9375,269078.4375,317040.09375,278251.34375,682581.6875,203023.234375,201674.875,224103.78125
13,281498.6875,268602.8125,316743.625,277908.0,682253.875,202835.296875,201340.40625,223755.71875
14,281480.28125,268402.875,316571.625,277686.46875,682184.75,202767.53125,201180.734375,223552.953125
15,281574.40625,268743.1875,316764.75,277893.96875,682335.25,202918.359375,201394.953125,223754.46875
16,281655.25,269251.09375,317110.46875,278303.28125,682643.125,203114.0625,201746.9375,224139.109375
17,281584.53125,269073.53125,317035.625,278241.40625,682538.5625,203022.0625,201661.203125,224078.578125
18,281504.40625,268592.53125,316737.375,277894.15625,682228.3125,202830.109375,201325.21875,223731.140625
19,281489.03125,268394.21875,316568.75,277677.15625,682181.375,202767.875,201170.359375,223532.203125
20,281581.375,268728.15625,316756.6875,277877.625,682332.75,202917.453125,201376.53125,223725.140625
21,281667.5,269250.65625,317112.625,278301.75,682652.625,203127.390625,201744.4375,224127.921875
22,281602.21875,269081.03125,317044.75,278247.84375,682553.8125,203049.78125,201664.59375,224072.765625
23,281524.96875,268604.78125,316748.375,277900.40625,682239.5625,202861.21875,201330.3125,223722.015625
24,281504.5,268395.5625,316574.125,277673.40625,682178.3125,202787.1875,201167.3125,223515.21875
25,281605.71875,268737.8125,316771.71875,277881.625,682335.9375,202943.75,201377.515625,223716.296875
26,281694.9375,269255.65625,317124.78125,278300.5,682651.8125,203148.125,201740.6875,224114.0625
27,281625.1875,269072.09375,317043.25,278231.5,682538.6875,203056.046875,201648.421875,224041.46875
28,281546.25,268583.125,316739.53125,277877.15625,682231.9375,202860.421875,201303.03125,223679.453125
29,281528.09375,268375.4375,316562.84375,277649.71875,682171.0625,202792.5625,201134.15625,223466.84375
30,281625.65625,268716.15625,316752.5625,277853.28125,682323.5,202944.015625,201339.515625,223657.734375
31,281708.96875,269227.9375,317099.03125,278268.3125,682626.125,203141.78125,201696.15625,224045.5
32,281641.75,269051.4375,317023.21875,278206.0,682514.3125,203053.984375,201607.828125,223980.765625
33,281564.84375,268574.8125,316723.59375,277859.8125,682220.6875,202862.203125,201269.328125,223629.75
34,281556.0,268387.0625,316562.21875,277650.34375,682174.375,202812.5,201119.390625,223435.921875
35,281651.75,268732.8125,316756.6875,277858.40625,682331.5625,202968.875,201331.203125,223632.96875
36,281733.65625,269245.46875,317102.78125,278270.8125,682632.6875,203163.234375,201682.75,224018.84375
37,281669.09375,269077.5625,317032.15625,278214.3125,682522.5,203081.515625,201599.515625,223956.359375
38,281588.09375,268608.53125,316738.0,277876.90625,682224.625,202901.8125,201272.375,223613.203125
39,281567.25,268416.375,316571.71875,277666.34375,682177.3125,202838.328125,201121.8125,223420.625
40,281662.65625,268766.25,316769.5625,277880.5625,682339.625,202990.328125,201339.96875,223627.0625
41,281745.90625,269286.15625,317122.09375,278300.15625,682653.875,203188.0,201704.5625,224023.859375
42,281682.78125,269120.28125,317054.25,278248.28125,682549.875,203107.265625,201628.296875,223969.59375
43,281605.4375,268648.125,316758.75,277903.8125,682233.9375,202924.609375,201296.953125,223623.140625
44,281585.15625,268451.71875,316590.84375,277688.34375,682177.5,202863.015625,201144.078125,223427.421875
45,281683.9375,268805.3125,316796.84375,277908.90625,682347.9375,203026.890625,201371.25,223641.015625
46,281761.53125,269324.0625,317150.0,278330.71875,682666.5625,203228.421875,201739.34375,224043.53125
47,281681.4375,269127.96875,317056.1875,278249.625,682538.0625,203121.390625,201631.15625,223958.953125
48,281604.53125,268662.0,316765.8125,277915.15625,682238.5625,202939.546875,201303.75,223619.296875
49,281594.0,268477.71875,316610.78125,277711.125,682194.375,202881.96875,201165.703125,223439.140625
50,281689.3125,268826.21875,316811.0625,277925.34375,682347.625,203036.28125,201386.453125,223646.5625
51,281763.34375,269334.25,317158.5625,278343.6875,682665.5,203233.421875,201748.203125,224042.0
52,281690.90625,269153.46875,317078.65625,278275.125,682552.0625,203136.953125,201657.09375,223973.515625
53,281611.875,268685.875,316788.25,277940.375,682247.9375,202948.84375,201331.65625,223636.015625
54,281593.0,268493.71875,316624.46875,277729.8125,682203.25,202887.15625,201183.859375,223449.59375
