Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279599.875,265858.625,305342.90625,271322.75,682719.875,200055.546875,196648.25,218669.0
1,279474.96875,265110.75,304870.65625,270746.875,682168.8125,199749.5,196088.90625,218080.96875
2,279467.71875,264826.96875,304636.9375,270438.0625,681980.75,199658.21875,195812.640625,217751.859375
3,279604.5,265378.0625,304958.375,270814.71875,682287.375,199909.90625,196171.796875,218110.203125
4,279699.46875,266097.4375,305446.34375,271423.78125,682825.4375,200194.921875,196738.359375,218728.90625
5,279599.40625,265864.28125,305343.1875,271329.90625,682739.625,200070.75,196647.625,218665.0625
6,279474.5,265112.625,304867.4375,270749.65625,682180.125,199756.484375,196081.40625,218073.734375
7,279469.3125,264831.625,304637.5625,270442.96875,681997.5625,199659.375,195805.140625,217748.015625
8,279610.21875,265377.625,304959.96875,270818.84375,682304.125,199905.421875,196160.796875,218105.734375
9,279704.90625,266088.15625,305446.34375,271422.625,682833.375,200181.875,196722.265625,218720.6875
10,279606.03125,265857.75,305345.75,271326.84375,682744.1875,200056.796875,196629.640625,218656.75
11,279486.125,265118.4375,304880.75,270753.75,682192.625,199754.0625,196076.03125,218075.15625
12,279476.21875,264858.53125,304660.1875,270461.75,682017.125,199671.1875,195821.671875,217768.765625
13,279607.625,265406.5,304980.09375,270839.59375,682314.375,199918.296875,196181.625,218130.953125
14,279710.71875,266121.75,305472.53125,271451.03125,682858.1875,200203.78125,196747.9375,218751.890625
15,279617.21875,265895.65625,305380.09375,271363.875,682783.0625,200092.296875,196668.71875,218698.15625
16,279492.5625,265149.0,304908.03125,270786.75,682217.375,199790.546875,196110.28125,218112.09375
17,279482.03125,264889.46875,304685.21875,270494.46875,682032.0625,199704.4375,195856.28125,217809.71875
18,279606.84375,265423.9375,304995.8125,270864.09375,682320.5,199938.234375,196210.6875,218167.078125
19,279683.90625,266103.875,305453.21875,271439.5,682827.5,200191.359375,196742.828125,218750.09375
20,279570.1875,265851.03125,305330.5625,271324.25,682717.625,200045.34375,196631.609375,218662.75
21,279456.46875,265115.84375,304868.6875,270756.875,682175.0,199747.09375,196081.046875,218084.546875
22,279450.5625,264844.75,304640.53125,270456.03125,681992.8125,199653.21875,195811.65625,217766.171875
23,279591.625,265409.71875,304973.46875,270850.6875,682309.9375,199906.234375,196188.0625,218145.796875
24,279694.46875,266138.21875,305475.40625,271472.6875,682866.6875,200193.046875,196768.140625,218783.0
25,279601.03125,265906.46875,305382.78125,271388.71875,682795.5625,200077.453125,196689.640625,218732.75
26,279485.0625,265174.03125,304921.34375,270822.0625,682243.5,199782.21875,196144.34375,218159.734375
27,279475.0625,264890.34375,304686.3125,270512.0,682038.9375,199683.875,195867.546875,217835.46875
28,279610.40625,265442.53125,305006.8125,270890.8125,682334.6875,199924.65625,196226.328125,218200.15625
29,279705.28125,266162.625,305498.21875,271501.5625,682887.125,200207.796875,196797.640625,218827.078125
30,279607.625,265929.53125,305398.875,271410.375,682812.0,200086.65625,196713.328125,218771.640625
31,279487.84375,265191.21875,304933.96875,270842.1875,682252.3125,199790.71875,196165.984375,218199.96875
32,279478.09375,264913.4375,304704.625,270535.78125,682049.75,199702.46875,195898.296875,217884.09375
33,279605.21875,265460.875,305023.90625,270911.90625,682345.5,199943.609375,196256.640625,218248.171875
34,279697.3125,266176.75,305515.09375,271522.65625,682897.5625,200224.96875,196828.390625,218874.8125
35,279595.21875,265943.65625,305416.40625,271432.96875,682830.5625,200104.984375,196750.703125,218824.65625
36,279471.84375,265199.25,304947.46875,270861.03125,682263.625,199802.515625,196201.75,218248.609375
37,279466.375,264926.03125,304721.4375,270561.8125,682060.0,199715.796875,195942.375,217940.609375
38,279603.15625,265476.5,305044.03125,270943.3125,682360.4375,199957.90625,196303.671875,218308.875
39,279695.34375,266183.90625,305525.65625,271545.71875,682905.9375,200231.234375,196862.734375,218926.046875
40,279603.09375,265944.90625,305425.96875,271451.75,682830.4375,200109.71875,196774.484375,218867.9375
41,279475.84375,265191.21875,304949.5,270870.6875,682257.1875,199799.65625,196214.796875,218280.53125
42,279461.5625,264906.4375,304710.53125,270558.75,682048.0625,199696.390625,195940.5,217955.984375
43,279601.65625,265461.65625,305033.1875,270935.4375,682341.375,199939.765625,196297.765625,218315.84375
44,279697.3125,266177.8125,305519.21875,271541.0,682887.3125,200220.765625,196865.140625,218936.953125
45,279591.375,265926.84375,305406.90625,271435.9375,682800.5,200088.71875,196769.65625,218868.921875
46,279465.125,265174.125,304930.46875,270853.8125,682231.875,199780.53125,196209.078125,218280.625
47,279460.21875,264906.53125,304704.4375,270551.25,682037.4375,199692.546875,195944.875,217966.4375
48,279601.375,265469.4375,305037.75,270939.71875,682347.375,199950.484375,196316.625,218341.5
49,279693.03125,266189.25,305527.4375,271551.09375,682903.9375,200232.390625,196890.796875,218967.4375
50,279588.0625,265932.75,305409.875,271438.875,682812.0,200096.046875,196790.578125,218889.84375
51,279461.1875,265175.375,304926.625,270846.28125,682231.9375,199783.296875,196223.109375,218291.4375
52,279448.75,264897.78125,304696.5,270542.21875,682037.125,199684.765625,195954.71875,217975.65625
53,279581.25,265437.875,305013.15625,270915.5,682330.5625,199922.328125,196306.265625,218333.109375
54,279674.15625,266149.75,305493.71875,271514.96875,682870.25,200198.234375,196864.25,218946.171875
55,279573.84375,265904.9375,305381.4375,271407.3125,682780.5,200071.546875,196761.875,218873.484375
56,279448.125,265147.65625,304903.65625,270822.78125,682219.375,199760.046875,196193.609375,218280.265625
57,279434.625,264868.28125,304670.03125,270514.0625,682033.3125,199663.5,195921.1875,217955.890625
58,279576.625,265435.125,304999.5,270902.53125,682344.3125,199915.171875,196290.4375,218327.203125
59,279677.75,266150.09375,305491.15625,271513.34375,682891.625,200205.84375,196862.375,218952.953125
60,279577.25,265893.59375,305373.03125,271399.71875,682789.75,200075.03125,196754.453125,218870.078125
61,279452.25,265138.71875,304888.1875,270805.78125,682212.4375,199756.296875,196178.859375,218261.046875
62,279441.6875,264863.34375,304658.125,270497.59375,682019.0625,199659.734375,195902.5,217934.703125
63,279585.5625,265426.53125,304990.28125,270889.125,682330.3125,199917.046875,196267.90625,218306.453125
64,279684.1875,266137.75,305478.4375,271501.46875,682874.375,200203.78125,196836.625,218928.015625
65,279580.90625,265881.25,305357.75,271385.40625,682771.6875,200067.34375,196727.1875,218842.453125
66,279453.6875,265125.0625,304874.84375,270794.15625,682202.0,199758.890625,196154.890625,218239.3125
67,279449.03125,264861.03125,304650.0,270494.65625,682018.0,199675.75,195888.546875,217920.9375
68,279589.9375,265422.40625,304976.6875,270876.5,682314.5625,199925.90625,196249.671875,218281.25
69,279683.90625,266128.1875,305456.8125,271473.65625,682839.3125,200201.359375,196803.28125,218885.8125
70,279578.6875,265874.1875,305339.875,271362.09375,682733.25,200071.71875,196695.546875,218802.9375
71,279451.625,265124.875,304865.03125,270778.875,682180.8125,199772.125,196134.0625,218210.796875
72,279446.71875,264856.28125,304638.5625,270479.1875,682001.5625,199688.078125,195869.328125,217892.328125
73,279576.78125,265410.09375,304957.46875,270857.65625,682300.0625,199928.234375,196225.34375,218252.09375
74,279675.21875,266122.21875,305442.59375,271460.6875,682840.5625,200206.90625,196788.171875,218867.9375
75,279574.125,265867.5625,305324.5,271344.125,682734.8125,200075.65625,196678.28125,218781.203125
76,279455.46875,265111.625,304843.65625,270752.6875,682166.6875,199763.8125,196101.15625,218172.96875
77,279454.125,264851.1875,304625.9375,270459.59375,681990.5625,199687.640625,195835.625,217859.78125
78,279589.84375,265413.75,304957.75,270853.0,682303.375,199943.15625,196205.765625,218234.9375
79,279683.09375,266113.71875,305435.4375,271450.9375,682832.125,200211.921875,196760.09375,218841.015625
80,279586.90625,265869.90625,305324.75,271344.125,682728.25,200082.640625,196655.390625,218761.890625
81,279461.90625,265119.40625,304847.78125,270761.4375,682170.1875,199774.453125,196090.4375,218166.09375
82,279454.3125,264842.96875,304617.90625,270456.3125,681993.25,199686.109375,195822.65625,217842.609375
83,279597.34375,265404.0,304948.09375,270842.1875,682307.25,199940.75,196187.0,218206.6875
84,279693.75,266117.75,305434.46875,271447.71875,682841.6875,200221.921875,196749.09375,218822.15625
85,279589.03125,265853.90625,305313.75,271332.03125,682736.375,200084.15625,196638.859375,218735.34375
86,279460.3125,265099.125,304830.34375,270741.875,682177.4375,199769.984375,196067.28125,218131.484375
87,279454.03125,264825.1875,304599.75,270434.84375,681988.75,199678.515625,195788.234375,217801.3125
88,279596.8125,265397.46875,304935.3125,270831.0,682298.75,199936.71875,196159.71875,218170.46875
89,279681.03125,266094.75,305410.0625,271422.53125,682818.9375,200206.90625,196713.6875,218772.453125
90,279586.1875,265838.53125,305293.90625,271309.15625,682710.0,200078.96875,196603.359375,218685.8125
91,279468.25,265092.6875,304820.9375,270729.15625,682163.0,199774.171875,196039.03125,218089.921875
92,279463.875,264827.9375,304597.4375,270430.0,681987.875,199685.125,195770.359375,217769.296875
93,279603.0,265398.28125,304934.21875,270825.625,682302.9375,199937.4375,196142.28125,218144.359375
94,279690.625,266098.25,305415.0625,271423.40625,682826.9375,200210.390625,196696.96875,218752.328125
95,279590.21875,265838.15625,305296.0625,271308.15625,682711.625,200079.953125,196582.265625,218664.09375
96,279471.65625,265100.65625,304829.4375,270735.25,682167.5625,199782.859375,196028.46875,218078.203125
97,279468.15625,264835.0,304606.71875,270438.0625,681995.5,199696.21875,195763.921875,217759.5625
98,279605.40625,265400.96875,304937.875,270828.84375,682310.875,199950.484375,196131.734375,218128.984375
99,279696.6875,266103.625,305416.125,271423.59375,682832.5,200229.171875,196684.984375,218733.375
100,279588.6875,265838.34375,305291.125,271306.03125,682723.0,200090.5,196571.625,218642.890625
101,279460.375,265078.65625,304805.5625,270714.6875,682166.25,199776.140625,195998.34375,218038.421875
