Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279954.53125,266503.15625,311157.75,274298.03125,682138.6875,200764.8125,198994.8125,221219.96875
1,279995.65625,266593.46875,311181.34375,274307.6875,682174.625,200812.28125,199034.609375,221239.640625
2,280106.53125,267133.125,311531.84375,274724.3125,682506.1875,201043.3125,199416.375,221652.6875
3,280114.65625,267372.46875,311722.4375,274973.9375,682734.9375,201130.84375,199638.546875,221917.421875
4,280008.09375,266907.90625,311449.65625,274664.59375,682422.1875,200926.90625,199347.703125,221628.203125
5,279960.34375,266517.9375,311178.21875,274325.65625,682135.0625,200777.59375,199047.921875,221296.046875
6,280002.71875,266613.5,311203.71875,274339.5,682172.6875,200832.3125,199087.796875,221319.109375
7,280102.5,267140.8125,311542.46875,274748.8125,682502.9375,201051.53125,199464.734375,221724.046875
8,280098.125,267349.5,311705.0,274965.625,682698.5625,201117.515625,199654.46875,221952.828125
9,279984.59375,266873.21875,311421.78125,274643.3125,682373.5625,200909.015625,199347.796875,221645.546875
10,279932.09375,266472.0625,311146.84375,274304.90625,682122.1875,200750.765625,199044.4375,221310.53125
11,279983.40625,266568.96875,311171.875,274314.46875,682164.625,200808.4375,199083.6875,221325.46875
12,280090.4375,267098.09375,311511.53125,274719.125,682481.125,201028.203125,199449.90625,221720.28125
13,280085.78125,267315.96875,311681.9375,274945.5,682682.0625,201094.28125,199643.375,221958.109375
14,279975.5625,266846.59375,311401.46875,274626.96875,682361.75,200883.71875,199338.953125,221654.578125
15,279932.28125,266456.15625,311132.8125,274289.71875,682130.5,200733.515625,199036.296875,221320.453125
16,279982.625,266550.1875,311158.46875,274300.34375,682168.1875,200791.0,199072.609375,221334.5
17,280092.75,267084.3125,311501.78125,274710.28125,682485.25,201013.890625,199444.625,221732.890625
18,280092.75,267299.15625,311667.1875,274927.71875,682673.0625,201080.765625,199630.6875,221957.84375
19,279987.875,266834.25,311389.125,274609.875,682356.0625,200882.109375,199328.75,221652.0625
20,279941.5625,266444.875,311120.90625,274274.96875,682134.0625,200730.921875,199030.578125,221320.015625
21,279979.65625,266517.03125,311129.15625,274263.6875,682171.5,200768.65625,199049.09375,221314.375
22,280083.375,267031.375,311462.09375,274660.3125,682469.625,200984.03125,199406.453125,221698.46875
23,280079.1875,267247.46875,311633.125,274886.5,682658.3125,201056.359375,199598.3125,221928.6875
24,279968.03125,266785.59375,311357.21875,274574.125,682347.75,200854.484375,199299.703125,221627.75
25,279921.09375,266392.03125,311083.5625,274229.0,682127.6875,200702.765625,198990.53125,221284.15625
26,279963.3125,266473.3125,311096.34375,274222.125,682169.375,200748.265625,199013.328125,221280.40625
27,280077.125,267008.3125,311443.3125,274632.84375,682480.6875,200972.234375,199383.203125,221675.3125
28,280082.46875,267250.34375,311628.75,274874.96875,682685.25,201049.296875,199588.03125,221919.390625
29,279978.40625,266805.375,311366.78125,274578.3125,682380.8125,200858.15625,199304.96875,221632.84375
30,279922.4375,266402.0625,311085.875,274227.84375,682134.6875,200704.453125,198993.921875,221287.5625
31,279953.90625,266453.28125,311075.84375,274191.46875,682159.0625,200739.59375,198995.625,221262.15625
32,280057.28125,266973.8125,311405.6875,274581.1875,682446.375,200951.484375,199345.296875,221635.265625
33,280052.8125,267211.625,311584.3125,274819.53125,682640.8125,201016.9375,199538.140625,221872.1875
34,279950.25,266749.5,311309.65625,274506.25,682329.75,200809.953125,199232.375,221565.171875
35,279902.3125,266342.5,311026.15625,274149.15625,682111.0,200653.59375,198910.953125,221205.390625
36,279942.28125,266406.53125,311029.0,274129.9375,682143.4375,200701.78125,198924.09375,221189.75
37,280058.53125,266946.28125,311379.21875,274543.71875,682448.875,200928.609375,199294.59375,221585.546875
38,280068.4375,267197.59375,311574.3125,274798.0,682659.9375,201012.640625,199508.109375,221838.03125
39,279968.21875,266744.84375,311305.53125,274493.03125,682346.5,200815.859375,199213.234375,221538.796875
40,279915.46875,266344.125,311029.1875,274144.96875,682117.9375,200664.046875,198904.078125,221192.421875
