Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279082.5625,264660.5,303358.59375,269966.53125,682258.125,198994.640625,195147.90625,217495.0
1,279044.65625,264214.71875,303026.09375,269540.15625,681938.6875,198829.234375,194748.703125,217046.359375
2,279148.8125,264569.65625,303207.40625,269745.96875,682119.0625,198995.265625,194947.28125,217233.84375
3,279280.21875,265374.125,303743.0625,270406.0625,682679.8125,199327.40625,195562.65625,217898.671875
4,279222.28125,265395.59375,303807.59375,270514.5,682799.3125,199304.703125,195673.703125,218046.734375
5,279078.09375,264644.84375,303345.65625,269960.34375,682256.625,198979.078125,195141.203125,217495.09375
6,279035.625,264195.03125,303011.4375,269532.46875,681947.0,198811.4375,194744.765625,217044.296875
7,279142.46875,264553.375,303199.1875,269744.875,682135.0625,198984.265625,194949.875,217236.96875
8,279283.90625,265366.09375,303743.59375,270407.65625,682696.3125,199321.78125,195567.84375,217902.96875
9,279223.46875,265391.75,303806.90625,270510.9375,682803.875,199304.875,195672.90625,218044.3125
10,279078.0,264642.53125,303343.59375,269955.34375,682254.3125,198994.734375,195140.65625,217485.875
11,279036.34375,264204.34375,303017.34375,269537.8125,681949.8125,198836.65625,194756.21875,217046.453125
12,279152.375,264572.5,303215.09375,269759.28125,682144.9375,199014.84375,194974.015625,217250.5625
13,279290.15625,265382.375,303755.40625,270418.84375,682707.3125,199342.515625,195588.765625,217914.953125
14,279231.0625,265395.0625,303811.4375,270512.90625,682810.75,199312.21875,195685.859375,218047.09375
15,279092.65625,264635.1875,303342.5,269944.09375,682245.1875,198984.8125,195135.75,217474.703125
16,279057.59375,264203.71875,303021.1875,269526.09375,681936.9375,198825.65625,194747.0,217032.234375
17,279167.40625,264576.625,303217.78125,269749.28125,682130.1875,199007.25,194962.75,217236.25
18,279299.46875,265390.6875,303758.4375,270417.40625,682702.625,199343.421875,195584.75,217908.59375
19,279237.0625,265408.75,303820.5625,270519.78125,682817.6875,199320.625,195691.140625,218051.203125
20,279094.96875,264654.40625,303360.9375,269967.78125,682267.4375,199003.9375,195159.171875,217500.640625
21,279055.09375,264209.53125,303034.6875,269548.46875,681953.4375,198845.6875,194771.59375,217062.0
22,279160.875,264570.375,303220.46875,269755.96875,682134.25,199014.578125,194977.9375,217248.5
23,279295.96875,265387.71875,303761.75,270421.96875,682702.4375,199343.234375,195599.5,217918.171875
24,279232.5,265410.34375,303823.78125,270527.375,682820.25,199312.03125,195710.09375,218066.671875
25,279093.625,264663.09375,303368.34375,269978.25,682273.875,198999.28125,195180.265625,217518.34375
26,279055.375,264217.3125,303037.625,269551.9375,681961.3125,198834.59375,194784.28125,217068.625
27,279157.9375,264565.625,303215.90625,269754.8125,682135.9375,198992.859375,194979.546875,217250.46875
28,279296.15625,265375.65625,303751.8125,270413.21875,682692.25,199320.53125,195589.9375,217910.75
29,279241.15625,265400.34375,303819.0625,270521.5625,682804.3125,199300.953125,195696.78125,218056.390625
30,279097.5625,264647.78125,303355.21875,269965.90625,682247.9375,198979.984375,195154.78125,217495.53125
31,279060.5625,264204.4375,303026.1875,269543.625,681938.5,198820.296875,194761.84375,217048.140625
32,279165.53125,264562.875,303210.0,269752.40625,682122.625,198989.0,194967.65625,217234.46875
33,279298.375,265383.25,303755.125,270420.53125,682693.5,199326.703125,195594.140625,217907.875
34,279239.1875,265414.8125,303825.21875,270531.5,682817.375,199315.796875,195713.671875,218059.703125
35,279097.03125,264656.1875,303358.34375,269970.375,682264.75,198988.5625,195172.140625,217498.046875
36,279058.40625,264199.96875,303020.75,269535.75,681941.3125,198814.390625,194763.640625,217041.265625
37,279168.28125,264566.0,303212.6875,269750.53125,682128.25,198994.015625,194969.453125,217237.59375
38,279298.375,265383.25,303756.1875,270416.4375,682699.125,199335.375,195593.234375,217909.140625
39,279237.75,265405.4375,303818.875,270519.34375,682812.0,199319.1875,195701.6875,218054.515625
40,279095.59375,264652.1875,303352.96875,269958.9375,682260.8125,198998.3125,195161.9375,217495.265625
41,279056.1875,264209.34375,303024.3125,269533.34375,681947.8125,198830.578125,194764.078125,217046.890625
42,279166.15625,264574.5625,303219.40625,269755.09375,682139.25,199008.671875,194980.171875,217248.0625
43,279297.03125,265380.5625,303754.59375,270411.6875,682696.25,199332.78125,195590.734375,217903.953125
44,279242.21875,265407.40625,303820.9375,270518.09375,682809.0625,199314.265625,195696.59375,218047.359375
45,279104.625,264661.5625,303362.28125,269965.53125,682264.5,199001.53125,195163.90625,217494.28125
46,279056.0,264200.59375,303020.375,269528.0625,681940.125,198818.6875,194752.28125,217033.921875
47,279170.875,264564.28125,303211.625,269743.625,682121.875,198991.421875,194959.171875,217226.59375
48,279298.125,265368.3125,303742.0625,270397.125,682674.875,199316.234375,195567.671875,217883.296875
49,279238.9375,265391.3125,303806.0,270499.3125,682784.6875,199298.890625,195672.09375,218024.203125
50,279095.4375,264641.0,303345.1875,269946.78125,682238.8125,198978.1875,195136.015625,217467.734375
51,279052.6875,264194.25,303013.5,269519.6875,681932.625,198809.203125,194739.21875,217018.28125
52,279165.34375,264568.75,303208.9375,269742.75,682125.9375,198986.953125,194957.828125,217223.03125
53,279293.8125,265380.125,303742.15625,270400.59375,682686.0625,199313.015625,195571.34375,217885.0
54,279235.09375,265402.84375,303806.4375,270505.46875,682800.125,199297.640625,195679.78125,218029.5625
55,279094.90625,264654.5,303346.96875,269951.5,682255.9375,198980.953125,195144.953125,217477.484375
56,279058.3125,264211.65625,303017.78125,269525.46875,681941.9375,198812.34375,194747.0,217028.03125
57,279171.0625,264583.34375,303212.34375,269745.875,682127.375,198985.25,194958.625,217228.5625
