Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279916.09375,267265.625,308372.1875,273319.125,683676.625,201403.984375,198396.234375,220653.84375
1,279698.21875,266649.875,308028.5,272947.90625,683395.5625,201105.1875,198082.953125,220356.828125
2,279481.5,265343.21875,307172.875,271862.3125,682400.0625,200575.0,197100.90625,219282.6875
3,279515.0,264980.21875,306865.59375,271425.28125,682032.5625,200466.71875,196693.484375,218790.234375
4,279794.3125,266166.46875,307606.40625,272327.3125,682747.1875,200981.0,197475.609375,219619.671875
5,279908.0625,267258.65625,308358.34375,273307.75,683669.8125,201398.078125,198378.09375,220631.578125
6,279687.03125,266627.0,308009.375,272924.03125,683378.9375,201090.15625,198054.96875,220327.0625
7,279483.8125,265331.5,307165.28125,271844.25,682388.4375,200578.3125,197081.59375,219261.140625
8,279528.5,264989.40625,306872.125,271420.03125,682035.0,200488.8125,196688.828125,218782.734375
9,279807.5625,266182.5625,307615.8125,272325.96875,682755.8125,201002.8125,197476.328125,219615.28125
10,279916.1875,267257.9375,308357.4375,273297.28125,683665.625,201401.203125,198365.125,220613.421875
11,279707.15625,266635.65625,308014.90625,272920.625,683378.6875,201100.53125,198045.671875,220313.46875
12,279497.3125,265328.4375,307159.75,271830.5625,682383.125,200581.53125,197061.578125,219236.46875
13,279533.875,264977.09375,306860.0625,271400.78125,682025.0,200489.171875,196660.40625,218750.8125
14,279812.90625,266167.53125,307601.59375,272302.8125,682735.6875,201006.65625,197441.28125,219578.546875
15,279920.75,267243.09375,308345.625,273276.5625,683640.1875,201404.0625,198329.546875,220574.453125
16,279708.75,266629.3125,308012.15625,272913.5625,683366.375,201103.65625,198026.0,220288.4375
17,279487.65625,265316.65625,307150.90625,271817.15625,682362.375,200576.515625,197037.4375,219204.375
18,279527.875,264962.59375,306850.40625,271387.21875,682000.9375,200472.71875,196636.625,218717.46875
19,279818.65625,266172.28125,307609.5625,272311.59375,682737.8125,201000.125,197441.734375,219568.703125
20,279926.46875,267254.28125,308355.375,273289.78125,683656.3125,201406.390625,198340.984375,220576.6875
21,279715.46875,266630.3125,308012.15625,272913.46875,683370.0,201102.5,198024.9375,220281.546875
22,279509.21875,265331.125,307161.53125,271826.46875,682371.3125,200586.890625,197043.15625,219208.390625
23,279551.40625,264989.59375,306869.0,271405.90625,682020.5,200500.609375,196652.984375,218730.6875
24,279834.28125,266198.75,307625.09375,272323.65625,682754.0,201026.5,197456.390625,219578.0
25,279935.9375,267277.34375,308374.34375,273304.0,683675.1875,201432.859375,198360.203125,220591.078125
26,279711.4375,266641.40625,308021.625,272917.59375,683383.9375,201119.390625,198038.515625,220286.828125
27,279480.9375,265310.75,307143.65625,271803.03125,682357.125,200567.671875,197026.171875,219184.25
28,279507.15625,264950.25,306827.59375,271358.3125,681981.0625,200453.5,196608.453125,218680.71875
29,279781.71875,266137.125,307562.625,272260.875,682698.0625,200955.0625,197385.9375,219506.03125
30,279891.0625,267210.5625,308306.46875,273235.34375,683602.9375,201356.0625,198276.875,220504.265625
31,279685.59375,266595.71875,307971.28125,272869.03125,683322.5625,201062.171875,197970.125,220214.140625
32,279481.75,265304.40625,307130.0625,271794.71875,682342.3125,200550.40625,196999.703125,219153.59375
33,279520.90625,264976.46875,306843.5,271384.53125,682010.5625,200466.453125,196621.59375,218689.828125
34,279795.21875,266170.5,307583.53125,272288.96875,682728.0625,200979.390625,197406.5,219522.390625
35,279908.0625,267244.96875,308328.375,273266.28125,683641.375,201384.484375,198302.984375,220525.453125
36,279699.28125,266616.34375,307984.15625,272890.3125,683353.75,201080.59375,197987.921875,220226.03125
37,279494.4375,265322.28125,307135.4375,271802.84375,682362.6875,200568.296875,197009.8125,219153.40625
38,279536.21875,264982.71875,306842.25,271379.34375,682006.9375,200473.78125,196613.203125,218673.828125
39,279821.15625,266184.6875,307593.0,272294.78125,682730.125,200996.8125,197408.921875,219517.75
