Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,286533.5625,270339.71875,306632.40625,274617.46875,681414.5,202403.640625,200617.28125,221456.890625
1,286554.375,270560.5625,306686.78125,274685.4375,681485.125,202440.109375,200651.4375,221448.40625
2,286609.09375,271109.40625,307076.9375,275183.4375,681892.6875,202665.421875,201086.671875,221895.34375
3,286650.75,271151.53125,307143.46875,275271.40625,681907.75,202643.875,201132.546875,221949.25
4,286572.4375,270833.96875,306897.25,274988.96875,681713.125,202462.015625,200821.40625,221610.3125
5,286534.28125,270520.40625,306687.0625,274756.5,681558.75,202371.984375,200608.171875,221339.859375
6,286529.34375,270705.375,306801.9375,274916.09375,681744.6875,202461.578125,200788.5,221485.234375
7,286681.0,271291.0,307232.6875,275439.9375,682118.4375,202701.8125,201240.71875,221959.0
8,286725.15625,271376.21875,307302.09375,275527.03125,682102.9375,202678.5625,201266.375,222000.484375
9,286561.8125,270927.5625,306947.75,275106.1875,681761.25,202382.53125,200848.3125,221551.484375
10,286499.5,270525.15625,306668.53125,274788.25,681522.875,202253.171875,200546.296875,221182.5
11,286525.5,270709.0625,306786.46875,274952.03125,681693.25,202364.65625,200704.640625,221305.171875
12,286712.71875,271391.6875,307254.5,275482.65625,682091.5,202651.5625,201177.875,221803.078125
13,286719.53125,271559.03125,307336.84375,275575.65625,682078.625,202641.109375,201216.40625,221863.0625
14,286536.40625,271049.78125,306981.03125,275171.09375,681758.4375,202366.984375,200834.1875,221463.15625
15,286469.71875,270669.8125,306762.96875,274928.625,681651.6875,202283.828125,200628.015625,221208.34375
16,286529.53125,270867.03125,306929.34375,275143.5625,681845.75,202481.328125,200840.171875,221401.109375
17,286698.78125,271487.34375,307361.0,275634.46875,682228.75,202697.609375,201299.1875,221892.21875
18,286691.71875,271490.90625,307419.125,275701.09375,682245.5625,202664.078125,201359.09375,221980.453125
19,286687.15625,271082.59375,307210.71875,275460.3125,681969.5625,202541.328125,201111.171875,221718.234375
20,286634.5,270886.875,306991.75,275179.75,681817.3125,202427.0625,200886.84375,221445.890625
21,286789.25,271195.875,307179.875,275380.46875,681979.375,202603.90625,201093.640625,221631.59375
22,286906.125,271745.8125,307567.0,275843.25,682299.5625,202786.125,201492.140625,222068.53125
23,286826.0,271688.40625,307580.84375,275909.3125,682304.0,202736.40625,201532.640625,222141.578125
24,286683.125,271245.125,307285.4375,275576.71875,681958.4375,202542.484375,201200.125,221795.484375
25,286690.5625,270974.40625,307055.40625,275286.875,681797.875,202411.859375,200953.8125,221497.390625
26,286788.71875,271308.25,307266.84375,275562.5,681987.625,202621.34375,201195.921875,221715.375
27,286805.0,271665.09375,307562.0625,275938.75,682252.0,202779.5,201539.25,222093.375
28,286665.875,271487.96875,307427.53125,275777.90625,682048.5,202600.0625,201376.703125,221959.0
29,286663.0,271124.53125,307186.9375,275464.53125,681781.6875,202458.984375,201058.328125,221623.8125
30,286607.40625,270884.75,307029.3125,275294.90625,681758.125,202442.796875,200941.5625,221452.875
31,286712.1875,271208.46875,307154.375,275416.78125,681878.0625,202523.796875,201073.0,221553.625
32,286685.09375,271709.96875,307451.03125,275778.4375,682158.8125,202664.265625,201416.578125,221922.96875
33,286625.65625,271679.9375,307510.03125,275895.03125,682238.6875,202659.34375,201521.109375,222057.078125
34,286691.625,271274.5625,307315.3125,275648.15625,681952.5625,202523.53125,201253.78125,221785.46875
35,286673.84375,271015.4375,307138.09375,275427.5,681829.4375,202516.46875,201079.515625,221565.796875
36,286825.5625,271383.8125,307359.5625,275642.09375,682016.75,202760.640625,201347.5625,221810.671875
37,287021.09375,272074.03125,307829.75,276183.96875,682438.3125,203061.3125,201832.5,222331.109375
38,286986.03125,272036.3125,307901.8125,276336.40625,682509.5,203012.234375,201913.421875,222462.359375
39,286738.28125,271465.4375,307547.0625,275979.78125,682154.1875,202780.484375,201583.953125,222142.734375
40,286737.5,271164.03125,307267.3125,275580.40625,681878.8125,202625.09375,201268.96875,221795.921875
41,286856.40625,271445.6875,307429.40625,275741.6875,682030.5,202794.171875,201442.515625,221963.109375
42,286876.25,271952.4375,307773.34375,276173.34375,682382.625,202957.15625,201842.15625,222403.4375
