Unnamed: 0,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8
0,279901.625,265922.125,302704.59375,270453.4375,682857.25,200365.875,195228.546875,218184.59375
1,279754.53125,265245.9375,302296.90625,269957.5,682384.5625,200072.078125,194770.078125,217709.046875
2,279685.25,264645.5625,301868.90625,269395.3125,681912.3125,199844.71875,194260.453125,217125.390625
3,279759.0,264804.09375,301912.8125,269434.90625,681961.25,199927.6875,194302.65625,217131.375
4,279917.34375,265640.03125,302462.84375,270124.5,682509.9375,200282.640625,194914.46875,217803.09375
5,279900.71875,265924.625,302703.78125,270455.3125,682839.9375,200366.859375,195219.96875,218177.265625
6,279750.34375,265250.65625,302299.75,269962.9375,682375.1875,200065.921875,194763.09375,217709.484375
7,279675.21875,264641.34375,301866.21875,269394.21875,681904.125,199829.34375,194243.640625,217123.6875
8,279746.3125,264791.21875,301907.0,269427.75,681962.6875,199910.703125,194280.296875,217126.203125
9,279901.15625,265625.1875,302459.625,270122.46875,682526.5625,200252.234375,194902.390625,217809.0
10,279890.96875,265915.0625,302702.625,270452.46875,682859.625,200340.9375,195212.8125,218183.609375
11,279745.40625,265244.40625,302298.0625,269956.96875,682391.5625,200053.21875,194757.828125,217711.1875
12,279670.9375,264636.8125,301863.90625,269389.9375,681915.0,199820.9375,194242.390625,217123.609375
13,279748.09375,264801.03125,301914.5,269438.21875,681979.9375,199909.359375,194294.25,217144.34375
14,279909.84375,265637.1875,302465.875,270130.21875,682534.625,200260.546875,194911.6875,217823.21875
15,279902.0625,265925.78125,302708.4375,270458.0,682855.8125,200357.109375,195215.671875,218189.515625
16,279754.8125,265262.8125,302306.5625,269970.90625,682395.375,200069.9375,194768.375,217725.21875
17,279677.125,264645.90625,301864.875,269398.25,681905.25,199823.078125,194246.953125,217130.671875
18,279750.875,264794.78125,301909.75,269435.8125,681958.125,199906.5,194289.953125,217138.796875
19,279906.78125,265633.15625,302464.34375,270129.4375,682519.375,200261.53125,194913.125,217820.4375
20,279893.84375,265925.875,302708.4375,270464.0625,682856.375,200355.0625,195228.28125,218197.921875
21,279746.65625,265254.96875,302302.34375,269971.1875,682391.125,200059.203125,194775.171875,217729.25
22,279672.0,264643.3125,301866.65625,269401.125,681910.5625,199824.25,194254.90625,217137.734375
23,279744.53125,264793.875,301907.8125,269434.125,681964.75,199905.421875,194290.84375,217140.40625
24,279897.3125,265625.09375,302455.5,270123.4375,682517.0625,200249.203125,194903.015625,217814.1875
25,279883.90625,265916.03125,302698.0625,270454.4375,682850.625,200341.375,195212.640625,218190.234375
26,279733.71875,265236.0,302290.0,269957.84375,682385.9375,200041.0625,194758.890625,217721.203125
27,279661.8125,264633.40625,301863.625,269395.125,681908.5,199808.78125,194247.9375,217140.140625
28,279734.59375,264784.0625,301903.78125,269427.40625,681960.6875,199889.328125,194282.53125,217142.828125
29,279893.03125,265619.46875,302456.125,270122.375,682518.0625,200239.359375,194901.765625,217821.25
30,279888.28125,265918.09375,302707.1875,270462.8125,682857.4375,200340.65625,195218.453125,218202.390625
31,279749.15625,265251.375,302306.71875,269976.90625,682398.5,200052.5,194771.59375,217740.6875
32,279677.375,264635.1875,301866.65625,269403.53125,681909.375,199811.546875,194248.921875,217146.765625
33,279760.875,264789.59375,301908.34375,269437.15625,681960.3125,199901.234375,194282.890625,217147.5625
34,279929.59375,265632.96875,302463.90625,270132.375,682520.9375,200254.5625,194903.90625,217827.140625
35,279925.46875,265917.28125,302700.84375,270456.84375,682842.1875,200340.390625,195203.96875,218192.203125
36,279781.8125,265227.0625,302283.5,269947.5,682356.125,200038.203125,194731.53125,217703.234375
37,279721.46875,264627.40625,301853.53125,269387.0,681882.9375,199803.0625,194213.78125,217118.0625
38,279812.375,264796.5625,301907.8125,269441.34375,681948.6875,199893.8125,194263.3125,217138.171875
39,279982.34375,265639.15625,302461.6875,270136.125,682502.0625,200243.828125,194877.625,217814.90625
40,279980.90625,265936.5,302708.25,270471.6875,682836.5,200341.015625,195188.140625,218190.140625
41,279838.84375,265259.53125,302300.21875,269974.03125,682365.8125,200047.9375,194729.5625,217713.0625
42,279770.8125,264655.84375,301868.0,269410.40625,681888.0,199816.46875,194215.921875,217125.03125
43,279849.5,264809.8125,301910.9375,269449.03125,681947.1875,199894.875,194254.546875,217130.3125
44,280012.46875,265649.78125,302468.1875,270148.84375,682512.6875,200237.125,194876.46875,217814.984375
45,280010.6875,265942.6875,302712.625,270478.46875,682839.5,200337.4375,195182.953125,218183.4375
46,279871.125,265281.15625,302313.875,269993.0,682378.5625,200061.796875,194737.171875,217717.53125
47,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
48,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
49,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
50,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
51,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
52,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
53,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
54,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
55,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
56,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
57,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
58,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
59,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
60,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
61,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
62,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
63,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
64,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
65,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
66,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
67,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
68,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
69,279793.6875,264667.09375,301877.9375,269427.59375,681899.8125,199818.890625,194219.0625,217130.75
